ID,What is your current academic level?,"How would you rate your prior familiarity with AI tools (ChatGPT, Gemini, Copilot, etc.) before this course?","Before this course, how often did you use AI tools for academic work?","This semester (overall, in all courses), how often did you use AI tools (any, including the Virtual TA)?",For what learning or coursework-related purposes do you typically use AI tools? (Select all that apply.),How often did you use the course chatbot (Virtual TA) this semester?,When in the semester did you use it most?,What did you use the Virtual TA for? (Select all that apply.),Typical session length with the Virtual TA (average time per session):,Learning & understanding (select all that apply).,Efficiency and workload (select all that apply),Study Strategies,Perceived learning outcome,Depth vs superficial understanding,"I sometimes encountered responses from the Virtual TA that were unclear, incomplete, or incorrect.",Self-reported adherence.,"How did you use or perceive the FAQ materials provided during the course, which were generated from questions students asked to the VTA? (Select all that apply)",Would you like to have a Virtual TA (or something similar) in other technical courses?,Would you recommend future students in this course make active use of the Virtual TA?,benefit_learning,benefit_efficiency,likert_score,deeper_understanding
10702,Junior,Moderate,A few times per semester,A few times per month,Preparing for midterms/exams;Creating study notes / summaries;Checking my understanding of Class notes;,A few times per month,Mostly near exams / deadlines,Preparing for midterms;Preparing for quizes;Preparing for final exam;,15-30 minutes,The Virtual TA helped me understand course concepts more deeply;,The Virtual TA reduced the amount of time I felt stuck on problems.;,I used the Virtual TA mainly before trying problems on my own.,The Virtual TA helped me perform better on homework.,"The Virtual TA encouraged me to ask ""why"" and not just ""what is the answer"".",Agree,I have used AI to generate solutions that I submitted with minimal modification.,The FAQ helped me understand the topic better.;,Yes,Yes,Reported benefit,Efficiency benefit,4,True
49471,Junior,High,A few times per month,A few times per month,Brainstorming ideas;Creating study notes / summaries;Preparing for midterms/exams;Explaining difficult concepts;,A few times per month,Mostly in the middle of the course,Clarifying lecture concepts;,5-15 minutes,Using the Virtual TA made me more confident in this subject;,The Virtual TA reduced the amount of time I felt stuck on problems.;,I used the Virtual TA mainly after trying problems on my own.,"Without the Virtual TA, I think my final grade would have been lower.","Using the Virtual TA changed how I think about problem solving (eg. more step-by-step reasoning, asking better questions).",Neutral,I always used the Virtual TA in ways that I believe are consistent with the course rules.,The FAQ clarified common points of confusion related to the topic.;,Not sure / It depends on the design,Yes,No benefit,Efficiency benefit,3,False
74066,Junior,Moderate,A few times per month,A few times per month,Brainstorming ideas;Creating study notes / summaries;,1-2 times total,Mostly at the beginning of the course,Clarifying lecture concepts;,Less than 5 minutes,The Virtual TA helped me understand course concepts more deeply;,The Virtual TA reduced the amount of time I felt stuck on problems.;,I sometimes accepted the Virtual TA's answers without critically evlaluating them.,The Virtual TA helped me perform better on homework.,"The Virtual TA encouraged me to ask ""why"" and not just ""what is the answer"".",Disagree,I sometimes used the Virtual TA (or other AI tools) in ways that I suspect the instructor might not approve of.,The FAQ included questions I wanted to ask but had not asked myself.;The FAQ clarified common points of confusion related to the topic.;,Yes,Yes,Reported benefit,Efficiency benefit,2,True
24383,Junior,High,Daily or almost daily,Daily or almost daily,Checking my homework or solutions;Explaining difficult concepts;Preparing for midterms/exams;Creating study notes / summaries;Checking my understanding of Class notes;,1-2 times total,I only tried it once or twice,Just curious / playing with it.;Clarifying Lab instructions or lab analysis;,Less than 5 minutes,The Virtual TA didn't affect my learning;,None of the Above;,I sometimes accepted the Virtual TA's answers without critically evlaluating them.,The Virtual TA helped me perform better on homework.,"Using the Virtual TA changed how I think about problem solving (eg. more step-by-step reasoning, asking better questions).",Neutral,I have used AI mainly to check or improve work I already did myself.,The FAQ was useful as a quick review or study resource.;,Yes,Yes,No benefit,No efficiency benefit,3,False
20391,Senior,Moderate,A few times per month,A few times per week,Explaining difficult concepts;Generating code or troubleshooting code;Drafting written assignments;Creating study notes / summaries;Preparing for midterms/exams;Checking my understanding of Class notes;,A few times per month,Mostly near exams / deadlines,Clarifying lecture concepts;Checking or debugging my homework solutions;Understanding solutions after homework was graded;Preparing for quizes;Preparing for midterms;Preparing for final exam;Clarifying Lab instructions or lab analysis;,5-15 minutes,The Virtual TA helped me understand course concepts more deeply;,The Virtual TA reduced the amount of time I felt stuck on problems.;The Virtual TA saved me time overall in this course.;,Using the Virtual TA made me more likely to postpone starting homework (procrastinate).,The Virtual TA helped me perform better on quizzes and exams.,"Using the Virtual TA changed how I think about problem solving (eg. more step-by-step reasoning, asking better questions).",Agree,I have used AI mainly to check or improve work I already did myself.,I was not aware of the FAQ or did not use it.;,Maybe,Maybe,Reported benefit,Efficiency benefit,4,True
30894,Junior,High,Daily or almost daily,A few times per month,Creating study notes / summaries;Preparing for midterms/exams;,Never,I only tried it once or twice,Just curious / playing with it.;,Less than 5 minutes,The Virtual TA didn't affect my learning;,None of the Above;,Using the Virtual TA made me more likely to postpone starting homework (procrastinate).,"Even if my grade did not change, I feel I learned concepts more solidly because of the Virtual TA.",I worry that relying on AI tools might weaken my ability to solve problems independently in the long term.,Neutral,I always used the Virtual TA in ways that I believe are consistent with the course rules.,I was not aware of the FAQ or did not use it.;,Not sure / It depends on the design,Not sure / It depends on the design,No benefit,No efficiency benefit,3,False
59986,Junior,High,Daily or almost daily,A few times per month,Generating code or troubleshooting code;Checking my homework or solutions;,1-2 times total,Mostly at the beginning of the course,Clarifying lecture concepts;Checking or debugging my homework solutions;,15-30 minutes,Using the Virtual TA made me more confident in this subject;,None of the Above;,I used the Virtual TA mainly after trying problems on my own.,"Even if my grade did not change, I feel I learned concepts more solidly because of the Virtual TA.",I worry that relying on AI tools might weaken my ability to solve problems independently in the long term.,Neutral,I have used AI mainly to check or improve work I already did myself.,I was not aware of the FAQ or did not use it.;,No,Not sure / It depends on the design,No benefit,No efficiency benefit,3,False
15908,Sophomore,Very HIgh,A few times per week,A few times per week,Checking my homework or solutions;Explaining difficult concepts;Brainstorming ideas;Creating study notes / summaries;Preparing for midterms/exams;Checking my understanding of Class notes;,1-2 times total,I only tried it once or twice,Just curious / playing with it.;,5-15 minutes,The Virtual TA didn't affect my learning;,None of the Above;,I used the Virtual TA mainly after trying problems on my own.,"Even if my grade did not change, I feel I learned concepts more solidly because of the Virtual TA.",I worry that relying on AI tools might weaken my ability to solve problems independently in the long term.,Neutral,I always used the Virtual TA in ways that I believe are consistent with the course rules.,I was not aware of the FAQ or did not use it.;,No,Maybe,No benefit,No efficiency benefit,3,False
26344,Sophomore,Very HIgh,A few times per month,A few times per month,Checking my homework or solutions;Explaining difficult concepts;Brainstorming ideas;Creating study notes / summaries;,A few times per month,Mostly in the middle of the course,Clarifying homework problems before attempting them;Checking or debugging my homework solutions;Clarifying lecture concepts;,5-15 minutes,The Virtual TA helped me understand course concepts more deeply;,The Virtual TA helped me complete my homework or studying more efficiently;The Virtual TA reduced the amount of time I felt stuck on problems.;The Virtual TA saved me time overall in this course.;,I used the Virtual TA mainly after trying problems on my own.,The Virtual TA helped me perform better on quizzes and exams.,"Using the Virtual TA changed how I think about problem solving (eg. more step-by-step reasoning, asking better questions).",Disagree,I have used AI mainly to check or improve work I already did myself.,I was not aware of the FAQ or did not use it.;,Yes,Yes,Reported benefit,Efficiency benefit,2,True
75577,Sophomore,Moderate,A few times per month,A few times per month,I generally do not use AI tools;,1-2 times per week,Mostly near exams / deadlines,Just curious / playing with it.;,15-30 minutes,The Virtual TA didn't affect my learning;,None of the Above;,Using Virtual TA encouraged me to attempt more challenging problems.,"Even if my grade did not change, I feel I learned concepts more solidly because of the Virtual TA.",I worry that relying on AI tools might weaken my ability to solve problems independently in the long term.,Neutral,I have used AI mainly to check or improve work I already did myself.,I was not aware of the FAQ or did not use it.;,Not sure / It depends on the design,Not sure / It depends on the design,No benefit,No efficiency benefit,3,False
18896,Junior,High,A few times per week,A few times per week,Checking my homework or solutions;Explaining difficult concepts;,1-2 times total,I only tried it once or twice,Understanding solutions after homework was graded;,Less than 5 minutes,The Virtual TA didn't affect my learning;,None of the Above;,I used the Virtual TA mainly after trying problems on my own.,The Virtual TA helped me perform better on homework.,I worry that relying on AI tools might weaken my ability to solve problems independently in the long term.,Neutral,I always used the Virtual TA in ways that I believe are consistent with the course rules.,I was not aware of the FAQ or did not use it.;,No,No,No benefit,No efficiency benefit,3,False
33380,Senior,Moderate,Daily or almost daily,Daily or almost daily,Explaining difficult concepts;Creating study notes / summaries;Preparing for midterms/exams;Generating code or troubleshooting code;,1-2 times total,Mostly at the beginning of the course,Clarifying lecture concepts;Just curious / playing with it.;,Less than 5 minutes,The Virtual TA helped me understand course concepts more deeply;The Virtual TA helped me make connections across topics;Using the Virtual TA made me more confident in this subject;,"The Virtual TA reduced the amount of time I felt stuck on problems.;The Virtual TA saved me time overall in this course.;Because of the Virtual TA, I can spend less time using other resources (office hours, peers, internet, etc);",I used the Virtual TA mainly before trying problems on my own.,"Even if my grade did not change, I feel I learned concepts more solidly because of the Virtual TA.",Sometimes the Virtual TA's help made me feel like I understood more than I actually did.,Disagree,I always used the Virtual TA in ways that I believe are consistent with the course rules.,I was not aware of the FAQ or did not use it.;,Maybe,Maybe,Reported benefit,Efficiency benefit,2,True
38104,Junior,Moderate,A few times per month,A few times per month,Preparing for midterms/exams;Explaining difficult concepts;Creating study notes / summaries;,1-2 times total,Mostly in the middle of the course,Preparing for quizes;Clarifying lecture concepts;Clarifying Lab instructions or lab analysis;,Less than 5 minutes,The Virtual TA helped me make connections across topics;The Virtual TA helped me understand course concepts more deeply;,The Virtual TA helped me complete my homework or studying more efficiently;The Virtual TA reduced the amount of time I felt stuck on problems.;The Virtual TA saved me time overall in this course.;,I sometimes accepted the Virtual TA's answers without critically evlaluating them.,The Virtual TA helped me perform better on homework.,Sometimes the Virtual TA's help made me feel like I understood more than I actually did.,Neutral,I have used AI mainly to check or improve work I already did myself.,"The FAQ was useful as a quick review or study resource.;The FAQ helped me prepare for homework, labs, quizzes, or exams.;The FAQ clarified common points of confusion related to the topic.;",Maybe,Yes,Reported benefit,Efficiency benefit,3,True
96070,Sophomore,Low,A few times per month,A few times per month,Explaining difficult concepts;Checking my homework or solutions;Creating study notes / summaries;Preparing for midterms/exams;,1-2 times total,I only tried it once or twice,Just curious / playing with it.;Clarifying lecture concepts;,5-15 minutes,The Virtual TA didn't affect my learning;,None of the Above;,I used the Virtual TA mainly before trying problems on my own.,"Even if my grade did not change, I feel I learned concepts more solidly because of the Virtual TA.",I worry that relying on AI tools might weaken my ability to solve problems independently in the long term.,Neutral,I always used the Virtual TA in ways that I believe are consistent with the course rules.,I was not aware of the FAQ or did not use it.;,Maybe,Maybe,No benefit,No efficiency benefit,3,False
23311,Junior,High,Daily or almost daily,A few times per week,Explaining difficult concepts;Creating study notes / summaries;Preparing for midterms/exams;,A few times per month,Mostly near exams / deadlines,Checking or debugging my homework solutions;Clarifying Lab instructions or lab analysis;,30-60 minutes,The Virtual TA helped me make connections across topics;,"Because of the Virtual TA, I can spend less time using other resources (office hours, peers, internet, etc);",I used the Virtual TA mainly before trying problems on my own.,The Virtual TA helped me perform better on quizzes and exams.,"The Virtual TA encouraged me to ask ""why"" and not just ""what is the answer"".",Neutral,I always used the Virtual TA in ways that I believe are consistent with the course rules.,I was not aware of the FAQ or did not use it.;,Yes,Yes,No benefit,Efficiency benefit,3,False
87214,Junior,Moderate,A few times per week,A few times per semester,Explaining difficult concepts;Checking my homework or solutions;Brainstorming ideas;,1-2 times total,Mostly at the beginning of the course,Clarifying lecture concepts;,5-15 minutes,The Virtual TA helped me understand course concepts more deeply;,None of the Above;,I sometimes accepted the Virtual TA's answers without critically evlaluating them.,"Even if my grade did not change, I feel I learned concepts more solidly because of the Virtual TA.",I worry that relying on AI tools might weaken my ability to solve problems independently in the long term.,Neutral,I always used the Virtual TA in ways that I believe are consistent with the course rules.,I was not aware of the FAQ or did not use it.;,Yes,Yes,Reported benefit,No efficiency benefit,3,True
59221,Sophomore,Moderate,A few times per week,A few times per week,Generating code or troubleshooting code;Creating study notes / summaries;Preparing for midterms/exams;,Never,I only tried it once or twice,Clarifying lecture concepts;,Less than 5 minutes,The Virtual TA didn't affect my learning;,None of the Above;,I used the Virtual TA mainly after trying problems on my own.,The Virtual TA helped me perform better on homework.,Sometimes the Virtual TA's help made me feel like I understood more than I actually did.,Strongly disagree,I always used the Virtual TA in ways that I believe are consistent with the course rules.,The FAQ was useful as a quick review or study resource.;,Not sure / It depends on the design,Not sure / It depends on the design,No benefit,No efficiency benefit,1,False
82202,Junior,High,Daily or almost daily,Daily or almost daily,Explaining difficult concepts;Brainstorming ideas;Creating study notes / summaries;Preparing for midterms/exams;,1-2 times total,Mostly at the beginning of the course,Clarifying lecture concepts;Just curious / playing with it.;,5-15 minutes,The Virtual TA helped me understand course concepts more deeply;Using the Virtual TA made me more confident in this subject;,The Virtual TA saved me time overall in this course.;,I used the Virtual TA mainly after trying problems on my own.,"Even if my grade did not change, I feel I learned concepts more solidly because of the Virtual TA.","The Virtual TA encouraged me to ask ""why"" and not just ""what is the answer"".",Neutral,I always used the Virtual TA in ways that I believe are consistent with the course rules.,The FAQ helped me understand the topic better.;,Yes,Yes,Reported benefit,Efficiency benefit,3,True
69175,Junior,Moderate,A few times per week,A few times per week,Explaining difficult concepts;Checking my homework or solutions;Brainstorming ideas;Creating study notes / summaries;Preparing for midterms/exams;Checking my understanding of Class notes;,A few times per month,Mostly near exams / deadlines,Clarifying lecture concepts;Clarifying homework problems before attempting them;Preparing for midterms;Preparing for final exam;,15-30 minutes,The Virtual TA helped me make connections across topics;Using the Virtual TA made me more confident in this subject;,The Virtual TA helped me complete my homework or studying more efficiently;The Virtual TA reduced the amount of time I felt stuck on problems.;The Virtual TA saved me time overall in this course.;,I used the Virtual TA mainly after trying problems on my own.,"Without the Virtual TA, I think my final grade would have been lower.",Sometimes the Virtual TA's help made me feel like I understood more than I actually did.,Disagree,I always used the Virtual TA in ways that I believe are consistent with the course rules.,The FAQ helped me understand the topic better.;The FAQ clarified common points of confusion related to the topic.;The FAQ was useful as a quick review or study resource.;,Yes,Yes,No benefit,Efficiency benefit,2,False
85179,Senior,Moderate,A few times per week,A few times per week,Checking my homework or solutions;Brainstorming ideas;Creating study notes / summaries;Preparing for midterms/exams;I use Ai mainly for non-academic tasks;,1-2 times total,Mostly in the middle of the course,Preparing for quizes;,5-15 minutes,The Virtual TA helped me understand course concepts more deeply;,The Virtual TA saved me time overall in this course.;The Virtual TA reduced the amount of time I felt stuck on problems.;,I used the Virtual TA mainly before trying problems on my own.,The Virtual TA helped me perform better on quizzes and exams.,"Using the Virtual TA changed how I think about problem solving (eg. more step-by-step reasoning, asking better questions).",Neutral,I always used the Virtual TA in ways that I believe are consistent with the course rules.,I was not aware of the FAQ or did not use it.;,Yes,Yes,Reported benefit,Efficiency benefit,3,True
77859,Junior,Very HIgh,Never,Never,I generally do not use AI tools;,Never,I only tried it once or twice,Just curious / playing with it.;,Less than 5 minutes,The Virtual TA didn't affect my learning;,None of the Above;,I used the Virtual TA mainly after trying problems on my own.,"Even if my grade did not change, I feel I learned concepts more solidly because of the Virtual TA.",I worry that relying on AI tools might weaken my ability to solve problems independently in the long term.,Strongly agree,I always used the Virtual TA in ways that I believe are consistent with the course rules.,I was not aware of the FAQ or did not use it.;,No,No,No benefit,No efficiency benefit,5,False
14996,Junior,Moderate,A few times per semester,A few times per semester,Explaining difficult concepts;Checking my homework or solutions;,1-2 times total,Mostly near exams / deadlines,Clarifying lecture concepts;Clarifying homework problems before attempting them;,Less than 5 minutes,The Virtual TA didn't affect my learning;,None of the Above;,Using the Virtual TA made me more likely to postpone starting homework (procrastinate).,The Virtual TA helped me perform better on quizzes and exams.,"The Virtual TA encouraged me to ask ""why"" and not just ""what is the answer"".",Strongly agree,I have used AI mainly to check or improve work I already did myself.,The FAQ introduced questions or perspectives I had not previously considered.;The FAQ helped me understand the topic better.;I reviewed the FAQ only briefly and did not use it much.;,Maybe,No,No benefit,No efficiency benefit,5,False
82525,Junior,High,A few times per week,A few times per week,Checking my homework or solutions;Explaining difficult concepts;,Never,I only tried it once or twice,Preparing for midterms;,Less than 5 minutes,The Virtual TA didn't affect my learning;,None of the Above;,I sometimes accepted the Virtual TA's answers without critically evlaluating them.,"Even if my grade did not change, I feel I learned concepts more solidly because of the Virtual TA.",I worry that relying on AI tools might weaken my ability to solve problems independently in the long term.,Neutral,I have used AI mainly to check or improve work I already did myself.,"The FAQ helped me prepare for homework, labs, quizzes, or exams.;",No,No,No benefit,No efficiency benefit,3,False
84049,Junior,High,A few times per week,A few times per week,Explaining difficult concepts;Checking my homework or solutions;Brainstorming ideas;Creating study notes / summaries;Preparing for midterms/exams;,1-2 times per week,Mostly near exams / deadlines,Clarifying lecture concepts;Clarifying homework problems before attempting them;Preparing for midterms;Preparing for quizes;Preparing for final exam;Clarifying Lab instructions or lab analysis;Just curious / playing with it.;,30-60 minutes,The Virtual TA helped me understand course concepts more deeply;Using the Virtual TA made me more confident in this subject;,"The Virtual TA helped me complete my homework or studying more efficiently;The Virtual TA reduced the amount of time I felt stuck on problems.;The Virtual TA saved me time overall in this course.;Because of the Virtual TA, I can spend less time using other resources (office hours, peers, internet, etc);",I used the Virtual TA mainly before trying problems on my own.,"Without the Virtual TA, I think my final grade would have been lower.","Using the Virtual TA changed how I think about problem solving (eg. more step-by-step reasoning, asking better questions).",Disagree,I sometimes used the Virtual TA (or other AI tools) in ways that I suspect the instructor might not approve of.,"The FAQ introduced questions or perspectives I had not previously considered.;The FAQ clarified common points of confusion related to the topic.;The FAQ helped me prepare for homework, labs, quizzes, or exams.;The FAQ was useful as a quick review or study resource.;",Yes,Yes,Reported benefit,Efficiency benefit,2,True
16800,Senior,Moderate,A few times per month,A few times per month,Drafting written assignments;Creating study notes / summaries;Brainstorming ideas;,1-2 times per week,Mostly near exams / deadlines,Checking or debugging my homework solutions;Preparing for quizes;Understanding solutions after homework was graded;,15-30 minutes,The Virtual TA helped me make connections across topics;The Virtual TA didn't affect my learning;,"Because of the Virtual TA, I can spend less time using other resources (office hours, peers, internet, etc);",Using the Virtual TA made me more likely to postpone starting homework (procrastinate).,The Virtual TA helped me perform better on homework.,"Using the Virtual TA changed how I think about problem solving (eg. more step-by-step reasoning, asking better questions).",Neutral,I have used AI to generate solutions that I submitted with minimal modification.,"The FAQ helped me prepare for homework, labs, quizzes, or exams.;The FAQ introduced questions or perspectives I had not previously considered.;",Yes,Yes,No benefit,Efficiency benefit,3,False
74576,Junior,Moderate,A few times per week,A few times per week,Explaining difficult concepts;Creating study notes / summaries;Preparing for midterms/exams;Checking my understanding of Class notes;,1-2 times total,I only tried it once or twice,Preparing for final exam;Just curious / playing with it.;,15-30 minutes,The Virtual TA didn't affect my learning;,None of the Above;,I used the Virtual TA mainly after trying problems on my own.,"Even if my grade did not change, I feel I learned concepts more solidly because of the Virtual TA.","The Virtual TA encouraged me to ask ""why"" and not just ""what is the answer"".",Neutral,I always used the Virtual TA in ways that I believe are consistent with the course rules.,"The FAQ helped me prepare for homework, labs, quizzes, or exams.;The FAQ was useful as a quick review or study resource.;Most of the FAQ content was too basic because I already understood those concepts.;I reviewed the FAQ only briefly and did not use it much.;I was not aware of the FAQ or did not use it.;",Yes,Yes,No benefit,No efficiency benefit,3,False
61400,Junior,High,A few times per week,A few times per semester,Brainstorming ideas;Creating study notes / summaries;Preparing for midterms/exams;,1-2 times total,I only tried it once or twice,Clarifying lecture concepts;Preparing for midterms;,5-15 minutes,The Virtual TA didn't affect my learning;,The Virtual TA reduced the amount of time I felt stuck on problems.;,Using the Virtual TA made me more likely to postpone starting homework (procrastinate).,The Virtual TA helped me perform better on quizzes and exams.,I worry that relying on AI tools might weaken my ability to solve problems independently in the long term.,Neutral,I always used the Virtual TA in ways that I believe are consistent with the course rules.,I was not aware of the FAQ or did not use it.;,Maybe,Not sure / It depends on the design,No benefit,Efficiency benefit,3,False
68147,Senior,High,A few times per semester,A few times per semester,Explaining difficult concepts;Checking my homework or solutions;,A few times per month,Mostly in the middle of the course,Clarifying homework problems before attempting them;Checking or debugging my homework solutions;,15-30 minutes,The Virtual TA helped me make connections across topics;,The Virtual TA helped me complete my homework or studying more efficiently;,I used the Virtual TA mainly after trying problems on my own.,The Virtual TA helped me perform better on quizzes and exams.,I worry that relying on AI tools might weaken my ability to solve problems independently in the long term.,Neutral,I sometimes used the Virtual TA (or other AI tools) in ways that I suspect the instructor might not approve of.,The FAQ included questions I wanted to ask but had not asked myself.;,Maybe,Yes,No benefit,Efficiency benefit,3,False
28499,Senior,Moderate,Daily or almost daily,A few times per week,Explaining difficult concepts;Checking my homework or solutions;Generating code or troubleshooting code;Brainstorming ideas;Preparing for midterms/exams;,Never,I only tried it once or twice,Just curious / playing with it.;,Less than 5 minutes,The Virtual TA didn't affect my learning;,None of the Above;,I sometimes accepted the Virtual TA's answers without critically evlaluating them.,"Even if my grade did not change, I feel I learned concepts more solidly because of the Virtual TA.",Sometimes the Virtual TA's help made me feel like I understood more than I actually did.,Neutral,I have used AI mainly to check or improve work I already did myself.,I reviewed the FAQ only briefly and did not use it much.;,Maybe,Maybe,No benefit,No efficiency benefit,3,False
61121,Junior,Moderate,A few times per week,A few times per month,Explaining difficult concepts;Checking my homework or solutions;Generating code or troubleshooting code;,Never,Mostly near exams / deadlines,Clarifying lecture concepts;Checking or debugging my homework solutions;Preparing for midterms;Preparing for final exam;,5-15 minutes,The Virtual TA didn't affect my learning;,None of the Above;,I used the Virtual TA mainly after trying problems on my own.,"Without the Virtual TA, I think my final grade would have been lower.",Sometimes the Virtual TA's help made me feel like I understood more than I actually did.,Neutral,I always used the Virtual TA in ways that I believe are consistent with the course rules.,The FAQ included questions I wanted to ask but had not asked myself.;The FAQ helped me understand the topic better.;,Yes,Yes,No benefit,No efficiency benefit,3,False
